student_id,state,school_type,gender,age,class_level,distance_to_school_km,household_income_band,parent_education_level,num_siblings,part_time_work,has_scholarship,family_support,health_issues,attendance_rate_pct,term1_avg_score,term2_avg_score,term3_avg_score,overall_avg_score,extracurricular_involvement,risk_score_raw,dropout_risk_level
STU0001,Anambra,Private,Male,17,JSS3,1.1,Middle,Primary,2,No,No,Yes,No,91.3,60.1,60.9,55.4,58.8,Yes,7.7,Low
STU0002,Ogun,Public,Male,18,SS1,1.2,Low,Secondary,6,Yes,No,Yes,No,70.7,62.3,42.5,63.8,56.2,Yes,58.4,Medium
STU0003,Lagos,Public,Female,11,SS1,3.4,Low,Primary,4,No,No,No,No,80.7,49.7,45.8,43.0,46.2,Yes,55.3,Medium
STU0004,Borno,Private,Female,18,SS1,0.6,Low,Primary,0,No,No,Yes,No,81.1,68.4,66.4,47.7,60.8,No,25.0,Low
STU0005,Benue,Public,Male,17,SS3,1.6,Middle,Secondary,2,No,No,Yes,No,99.2,73.9,100.0,59.3,77.7,No,2.7,Low
STU0006,Oyo,Public,Female,14,SS3,5.4,Low,Primary,3,No,No,Yes,No,77.3,42.1,64.7,53.8,53.5,Yes,32.3,Low
STU0007,Oyo,Private,Male,16,JSS2,0.9,Middle,Primary,0,No,Yes,Yes,No,91.8,53.4,84.3,62.3,66.7,Yes,2.8,Low
STU0008,Katsina,Public,Male,10,SS1,1.5,Low,Primary,6,No,No,Yes,Yes,72.3,55.7,78.7,51.1,61.8,Yes,44.5,Medium
STU0009,Edo,Public,Female,16,SS1,5.1,Middle,Primary,7,No,No,Yes,No,83.7,62.8,77.4,57.9,66.0,No,10.0,Low
STU0010,Borno,Public,Male,16,SS1,2.2,Low,Secondary,1,No,No,Yes,No,78.5,81.9,66.2,55.0,67.7,No,26.9,Low
STU0011,Oyo,Public,Female,14,JSS1,1.9,High,Secondary,2,No,No,No,No,93.0,76.2,63.0,54.7,64.6,No,7.9,Low
STU0012,Kano,Public,Female,18,SS2,2.9,Low,None,7,No,No,No,No,70.2,31.6,40.8,24.6,32.3,Yes,63.1,Medium
STU0013,Enugu,Private,Male,17,SS3,2.9,Middle,Secondary,3,No,No,Yes,No,97.7,73.9,51.1,65.5,63.5,No,9.2,Low
STU0014,Imo,Private,Male,14,SS1,2.8,Low,Primary,1,No,No,Yes,No,70.3,56.7,45.3,62.9,55.0,No,43.4,Medium
STU0015,Lagos,Public,Female,16,SS2,3.8,Low,Primary,3,No,No,No,No,81.5,54.8,44.1,53.9,50.9,Yes,46.3,Medium
STU0016,Enugu,Public,Female,15,SS3,0.6,Middle,None,5,No,No,Yes,No,86.2,68.0,53.4,50.2,57.2,No,4.8,Low
STU0017,Benue,Private,Male,12,JSS2,2.5,Middle,Primary,6,No,No,Yes,No,87.0,61.8,58.0,66.5,62.1,Yes,15.2,Low
STU0018,Plateau,Private,Male,15,SS2,3.4,Middle,None,2,No,Yes,Yes,Yes,83.7,56.7,76.8,56.9,63.5,No,15.9,Low
STU0019,Lagos,Public,Male,15,JSS2,2.1,Middle,None,1,No,No,Yes,No,93.1,59.8,69.1,61.6,63.5,No,-0.4,Low
STU0020,Plateau,Public,Male,12,SS1,1.3,Middle,Secondary,4,Yes,No,Yes,Yes,71.8,50.0,56.0,61.7,55.9,Yes,47.0,Medium
